grid	icp
0.101653	1.458006
0.184526	2.545293
0.214417	0.498073
0.420281	6.161135
0.46907	2.051563
1.702883	0.141163
2.651186	0.119094
5.130856	40.64494
80.76867	6.838841
125.1956	0.979529
149.6703	0.112125
24.19105	6.772006
2.23317	1.705194
1.06968	14.83699
2.726752	0.07463
2.289747	2.290057
3.503894	1.318703
26.77651	0.039484
4.472053	6.825438
0.015401	2.410336
4.526298	0.082204
34.01616	0.797407
1.238624	1.220559
35.16478	0.118252
76.55148	1.065116
95.69755	11.99067
3.125278	0.730847
0.261899	0.729838
69.43455	28.46279
4.346031	27.46571
1.170936	0.642741
0.742845	0.004418
0.047316	0.042253
1.456538	0.160863
2.195032	0.00826
0.198915	1.272843
1.448697	4.337588
2.271405	0.043309
5.75461	5.482678
3.082095	12.06933
0.366585	21.73755
